,index,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,felony,max_sentence,crime_types_combined,crime_class_type_subtype
25,25,2010,2013,Black,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
26,26,2010,2013,Black,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
27,27,2010,2013,White,0,D Felony,Drug,Trafficking,Parole,6JD,1,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
28,28,2010,2013,Black,0,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,1JD,0,1,1,0,2.0,Property_Forgery/Fraud,Aggravated Misdemeanor_Property_Forgery/Fraud
29,29,2010,2013,White,3,Aggravated Misdemeanor,Property,Theft,Parole,2JD,0,1,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
30,30,2010,2013,American Native,1,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0,1,10.0,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking
31,31,2010,2013,White,1,B Felony,Drug,Trafficking,Parole,5JD,1,1,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
32,32,2010,2013,White,1,Felony - Enhanced,Property,Theft,Parole,8JD,1,1,0,1,10.0,Property_Theft,Felony - Enhanced_Property_Theft
33,33,2010,2013,White,0,D Felony,Property,Theft,Parole,5JD,1,1,0,1,5.0,Property_Theft,D Felony_Property_Theft
34,34,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
35,35,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
36,36,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
37,37,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
38,38,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
39,39,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
40,40,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
41,41,2010,2013,Hispanic,1,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,50.0,Drug_Trafficking,B Felony_Drug_Trafficking
42,42,2010,2013,White,1,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,0,2.0,Violent_Assault,Aggravated Misdemeanor_Violent_Assault
43,43,2010,2013,Black,1,C Felony,Property,Burglary,Parole,7JD,1,1,0,1,10.0,Property_Burglary,C Felony_Property_Burglary
44,44,2010,2013,Black,2,D Felony,Property,Burglary,Parole,6JD,0,1,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
45,45,2010,2013,White,4,C Felony,Property,Theft,Parole,1JD,0,1,0,1,10.0,Property_Theft,C Felony_Property_Theft
46,46,2010,2013,White,1,D Felony,Public Order,Traffic,Parole,8JD,0,1,0,1,5.0,Public Order_Traffic,D Felony_Public Order_Traffic
47,47,2010,2013,Black,4,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0,1,10.0,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking
48,48,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,4JD,1,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
49,49,2010,2013,White,2,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,0,1,0,0,2.0,Public Order_Alcohol,Aggravated Misdemeanor_Public Order_Alcohol
50,50,2010,2013,White,2,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,0,1,0,0,2.0,Public Order_Alcohol,Aggravated Misdemeanor_Public Order_Alcohol
51,51,2010,2013,Hispanic,0,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
52,52,2010,2013,White,3,Felony - Enhanced,Drug,Trafficking,Parole,7JD,1,1,1,1,10.0,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking
53,53,2010,2013,American Native,1,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Violent_Sex,C Felony_Violent_Sex
54,54,2010,2013,White,1,C Felony,Property,Theft,Discharged – End of Sentence,unknown,1,0,0,1,10.0,Property_Theft,C Felony_Property_Theft
55,55,2010,2013,American Native,3,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,0,0,1,1,5.0,Drug_Other Drug,D Felony_Drug_Other Drug
56,56,2010,2013,White,0,C Felony,Property,Burglary,Parole,6JD,1,1,0,1,10.0,Property_Burglary,C Felony_Property_Burglary
57,57,2010,2013,White,1,C Felony,Violent,Robbery,Parole,4JD,1,1,0,1,10.0,Violent_Robbery,C Felony_Violent_Robbery
58,58,2010,2013,Black,1,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0,1,10.0,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking
59,59,2010,2013,Black,1,Felony - Enhanced,Drug,Trafficking,Parole,1JD,0,1,0,1,10.0,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking
60,60,2010,2013,White,1,D Felony,Public Order,Traffic,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Public Order_Traffic,D Felony_Public Order_Traffic
61,61,2010,2013,White,1,D Felony,Public Order,Traffic,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Public Order_Traffic,D Felony_Public Order_Traffic
62,62,2010,2013,White,1,D Felony,Public Order,Traffic,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Public Order_Traffic,D Felony_Public Order_Traffic
63,63,2010,2013,White,1,Felony - Enhanced,Property,Theft,Parole,2JD,1,0,0,1,10.0,Property_Theft,Felony - Enhanced_Property_Theft
64,64,2010,2013,American Native,2,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
65,65,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Parole,7JD,0,1,1,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
66,66,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Parole,7JD,0,1,1,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
67,67,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Parole,7JD,0,1,1,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
68,68,2010,2013,White,1,B Felony,Other,Other Criminal,Parole,4JD,1,1,1,1,50.0,Other_Other Criminal,B Felony_Other_Other Criminal
69,69,2010,2013,Black,2,D Felony,Property,Forgery/Fraud,Parole,1JD,1,1,0,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
70,70,2010,2013,White,3,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,0,2.0,Violent_Assault,Aggravated Misdemeanor_Violent_Assault
71,71,2010,2013,Asian or Pacific Islander,1,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Vandalism,Aggravated Misdemeanor_Property_Vandalism
72,72,2010,2013,Black,4,C Felony,Drug,Trafficking,Parole,2JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
73,73,2010,2013,Hispanic,2,C Felony,Violent,Robbery,Parole,8JD,0,1,0,1,10.0,Violent_Robbery,C Felony_Violent_Robbery
74,74,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,2JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
75,75,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,2JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
76,76,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,2JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
77,77,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,2JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
78,78,2010,2013,White,1,D Felony,Drug,Trafficking,Parole,2JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
79,79,2010,2013,White,4,B Felony,Violent,Sex,Discharged – End of Sentence,unknown,0,0,1,1,50.0,Violent_Sex,B Felony_Violent_Sex
80,80,2010,2013,White,1,D Felony,Property,Forgery/Fraud,Parole,4JD,0,1,1,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
81,81,2010,2013,White,0,C Felony,Drug,Other Drug,Parole,1JD,0,1,0,1,10.0,Drug_Other Drug,C Felony_Drug_Other Drug
82,82,2010,2013,Black,2,D Felony,Violent,Other Violent,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Violent_Other Violent,D Felony_Violent_Other Violent
83,83,2010,2013,White,3,D Felony,Public Order,Weapons,Parole,1JD,0,1,0,1,5.0,Public Order_Weapons,D Felony_Public Order_Weapons
84,84,2010,2013,White,2,D Felony,Violent,Assault,Parole,1JD,0,1,0,1,5.0,Violent_Assault,D Felony_Violent_Assault
85,85,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
86,86,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
87,87,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
88,88,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
89,89,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
90,90,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
91,91,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
92,92,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
93,93,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
94,94,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
95,95,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
96,96,2010,2013,White,1,D Felony,Drug,Drug Possession,Parole,8JD,0,1,1,1,5.0,Drug_Drug Possession,D Felony_Drug_Drug Possession
97,97,2010,2013,White,1,Aggravated Misdemeanor,Drug,Drug Possession,Parole,8JD,1,1,0,0,2.0,Drug_Drug Possession,Aggravated Misdemeanor_Drug_Drug Possession
98,98,2010,2013,White,4,D Felony,Property,Theft,Parole,1JD,1,1,1,1,5.0,Property_Theft,D Felony_Property_Theft
99,99,2010,2013,White,1,D Felony,Violent,Other Violent,Parole,1JD,1,1,0,1,5.0,Violent_Other Violent,D Felony_Violent_Other Violent
100,100,2010,2013,Black,1,B Felony,Violent,Other Violent,Discharged – End of Sentence,unknown,1,1,0,1,50.0,Violent_Other Violent,B Felony_Violent_Other Violent
101,101,2010,2013,White,3,D Felony,Property,Theft,Parole,1JD,0,1,1,1,5.0,Property_Theft,D Felony_Property_Theft
102,102,2010,2013,White,1,D Felony,Property,Theft,Parole,5JD,1,1,0,1,5.0,Property_Theft,D Felony_Property_Theft
103,103,2010,2013,White,2,C Felony,Drug,Trafficking,Parole,7JD,0,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
104,104,2010,2013,White,3,D Felony,Property,Burglary,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
105,105,2010,2013,White,3,D Felony,Property,Burglary,Parole,8JD,0,1,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
106,106,2010,2013,Black,2,D Felony,Property,Theft,Parole,7JD,0,1,1,1,5.0,Property_Theft,D Felony_Property_Theft
107,107,2010,2013,White,1,D Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,1,1,5.0,Property_Burglary,D Felony_Property_Burglary
108,108,2010,2013,Asian or Pacific Islander,1,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Violent_Assault,D Felony_Violent_Assault
109,109,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Parole,5JD,0,1,1,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
110,110,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Parole,5JD,0,1,1,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
111,111,2010,2013,White,2,D Felony,Property,Forgery/Fraud,Parole,5JD,0,1,1,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
112,112,2010,2013,Hispanic,1,C Felony,Drug,Trafficking,Parole,2JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
113,113,2010,2013,Hispanic,1,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
114,114,2010,2013,White,2,C Felony,Property,Theft,Parole,5JD,1,1,0,1,10.0,Property_Theft,C Felony_Property_Theft
115,115,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,1JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
116,116,2010,2013,White,2,C Felony,Drug,Trafficking,Parole,5JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
117,117,2010,2013,White,1,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,1,0,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
118,118,2010,2013,Hispanic,2,D Felony,Property,Theft,Discharged – End of Sentence,unknown,0,0,1,1,5.0,Property_Theft,D Felony_Property_Theft
119,119,2010,2013,Black,4,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
120,120,2010,2013,White,2,C Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Property_Burglary,C Felony_Property_Burglary
121,121,2010,2013,White,2,C Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Property_Burglary,C Felony_Property_Burglary
122,122,2010,2013,White,2,C Felony,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Property_Burglary,C Felony_Property_Burglary
123,123,2010,2013,Black,3,Felony - Enhanced,Property,Theft,Parole,6JD,1,1,0,1,10.0,Property_Theft,Felony - Enhanced_Property_Theft
124,124,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,8JD,0,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
125,125,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,8JD,0,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
126,126,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,8JD,0,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
127,127,2010,2013,Hispanic,1,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Violent_Sex,C Felony_Violent_Sex
128,128,2010,2013,White,2,D Felony,Drug,Drug Possession,Parole,6JD,0,1,0,1,5.0,Drug_Drug Possession,D Felony_Drug_Drug Possession
129,129,2010,2013,White,2,D Felony,Drug,Drug Possession,Parole,6JD,0,1,0,1,5.0,Drug_Drug Possession,D Felony_Drug_Drug Possession
130,130,2010,2013,Hispanic,4,C Felony,Drug,Trafficking,Parole,7JD,0,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
131,131,2010,2013,White,0,D Felony,Drug,Other Drug,Parole,1JD,1,1,0,1,5.0,Drug_Other Drug,D Felony_Drug_Other Drug
132,132,2010,2013,White,1,Felony - Enhanced,Violent,Assault,Parole,8JD,0,1,0,1,10.0,Violent_Assault,Felony - Enhanced_Violent_Assault
133,133,2010,2013,Hispanic,1,D Felony,Drug,Trafficking,Parole,7JD,0,1,0,1,5.0,Drug_Trafficking,D Felony_Drug_Trafficking
134,134,2010,2013,White,3,C Felony,Violent,Robbery,Parole,8JD,1,1,0,1,10.0,Violent_Robbery,C Felony_Violent_Robbery
135,135,2010,2013,Black,1,C Felony,Drug,Trafficking,Parole,7JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
136,136,2010,2013,Black,2,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,0,2.0,Violent_Assault,Aggravated Misdemeanor_Violent_Assault
137,137,2010,2013,Black,0,C Felony,Property,Theft,Parole,4JD,1,1,0,1,10.0,Property_Theft,C Felony_Property_Theft
138,138,2010,2013,White,0,D Felony,Property,Vandalism,Parole,2JD,1,1,0,1,5.0,Property_Vandalism,D Felony_Property_Vandalism
139,139,2010,2013,Hispanic,1,D Felony,Public Order,OWI,Parole,2JD,0,1,0,1,5.0,Public Order_OWI,D Felony_Public Order_OWI
140,140,2010,2013,Hispanic,1,D Felony,Drug,Drug Possession,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Drug_Drug Possession,D Felony_Drug_Drug Possession
141,141,2010,2013,White,0,D Felony,Violent,Assault,Parole,4JD,1,1,0,1,5.0,Violent_Assault,D Felony_Violent_Assault
142,142,2010,2013,White,0,C Felony,Drug,Trafficking,Parole,5JD,1,1,1,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
143,143,2010,2013,White,1,Aggravated Misdemeanor,Public Order,Flight/Escape,Discharged – End of Sentence,unknown,0,0,0,0,2.0,Public Order_Flight/Escape,Aggravated Misdemeanor_Public Order_Flight/Escape
144,144,2010,2013,White,3,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,unknown,1,0,0,0,2.0,Public Order_Alcohol,Aggravated Misdemeanor_Public Order_Alcohol
145,145,2010,2013,Black,1,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,1,0,0,1,10.0,Violent_Sex,C Felony_Violent_Sex
146,146,2010,2013,Black,0,D Felony,Public Order,Weapons,Parole,7JD,0,1,0,1,5.0,Public Order_Weapons,D Felony_Public Order_Weapons
147,147,2010,2013,Black,1,D Felony,Property,Vandalism,Discharged – End of Sentence,unknown,1,0,0,1,5.0,Property_Vandalism,D Felony_Property_Vandalism
148,148,2010,2013,White,2,D Felony,Property,Theft,Parole,3JD,1,1,0,1,5.0,Property_Theft,D Felony_Property_Theft
149,149,2010,2013,Black,1,D Felony,Violent,Assault,Parole,5JD,0,1,0,1,5.0,Violent_Assault,D Felony_Violent_Assault
150,150,2010,2013,Black,0,C Felony,Drug,Trafficking,Parole,5JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
151,151,2010,2013,White,1,D Felony,Drug,Drug Possession,Parole,5JD,1,1,0,1,5.0,Drug_Drug Possession,D Felony_Drug_Drug Possession
152,152,2010,2013,White,0,D Felony,Drug,Other Drug,Parole,3JD,1,1,0,1,5.0,Drug_Other Drug,D Felony_Drug_Other Drug
153,153,2010,2013,Black,1,Aggravated Misdemeanor,Violent,Assault,Special Sentence,1JD,1,1,0,0,2.0,Violent_Assault,Aggravated Misdemeanor_Violent_Assault
154,154,2010,2013,White,1,C Felony,Violent,Sex,Parole,2JD,0,1,0,1,10.0,Violent_Sex,C Felony_Violent_Sex
155,155,2010,2013,White,1,C Felony,Property,Arson,Parole,5JD,0,1,0,1,10.0,Property_Arson,C Felony_Property_Arson
156,156,2010,2013,Black,1,C Felony,Property,Theft,Parole,5JD,1,1,1,1,10.0,Property_Theft,C Felony_Property_Theft
157,157,2010,2013,White,3,Felony - Enhanced,Drug,Trafficking,Parole,1JD,1,1,0,1,10.0,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking
158,158,2010,2013,Black,3,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,0,0,0,1,5.0,Drug_Other Drug,D Felony_Drug_Other Drug
159,159,2010,2013,Black,2,C Felony,Property,Burglary,Parole,5JD,1,1,0,1,10.0,Property_Burglary,C Felony_Property_Burglary
160,160,2010,2013,Black,1,D Felony,Property,Forgery/Fraud,Parole,5JD,0,1,0,1,5.0,Property_Forgery/Fraud,D Felony_Property_Forgery/Fraud
161,161,2010,2013,Black,3,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,1,1,0,1,10.0,Property_Forgery/Fraud,Felony - Enhanced_Property_Forgery/Fraud
162,162,2010,2013,Black,3,D Felony,Property,Burglary,Parole,5JD,0,1,0,1,5.0,Property_Burglary,D Felony_Property_Burglary
163,163,2010,2013,White,4,D Felony,Public Order,OWI,Parole,4JD,1,1,0,1,5.0,Public Order_OWI,D Felony_Public Order_OWI
164,164,2010,2013,White,2,Felony - Enhanced,Drug,Trafficking,Parole,7JD,0,1,0,1,10.0,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking
165,165,2010,2013,White,2,Felony - Enhanced,Drug,Trafficking,Parole,7JD,0,1,0,1,10.0,Drug_Trafficking,Felony - Enhanced_Drug_Trafficking
166,166,2010,2013,White,0,Aggravated Misdemeanor,Property,Theft,Parole,2JD,0,1,0,0,2.0,Property_Theft,Aggravated Misdemeanor_Property_Theft
167,167,2010,2013,White,2,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,1,0,1,0,2.0,Property_Forgery/Fraud,Aggravated Misdemeanor_Property_Forgery/Fraud
168,168,2010,2013,White,1,C Felony,Drug,Trafficking,Parole,4JD,1,1,0,1,10.0,Drug_Trafficking,C Felony_Drug_Trafficking
169,169,2010,2013,White,0,C Felony,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0,1,10.0,Violent_Assault,C Felony_Violent_Assault
170,170,2010,2013,Black,3,D Felony,Public Order,Sex Offender Registry/Residency,Parole,1JD,1,1,0,1,5.0,Public Order_Sex Offender Registry/Residency,D Felony_Public Order_Sex Offender Registry/Residency
171,171,2010,2013,Black,3,C Felony,Property,Theft,Parole,8JD,0,1,1,1,10.0,Property_Theft,C Felony_Property_Theft
172,172,2010,2013,White,3,D Felony,Public Order,Weapons,Parole,3JD,0,1,0,1,5.0,Public Order_Weapons,D Felony_Public Order_Weapons
173,173,2010,2013,White,3,Felony - Enhanced,Property,Burglary,Discharged – End of Sentence,unknown,0,0,0,1,10.0,Property_Burglary,Felony - Enhanced_Property_Burglary
