,yr_released,report_year,supervising_dist,release_type,race_ethnicity,age_released,sex,crime_class,crime_type,crime_subtype,recidivist,target_pop
16,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Public Order,OWI,Yes,No
17,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Theft,Yes,Yes
18,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,C Felony,Violent,Sex,No,No
19,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
20,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
21,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,Yes
22,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,Yes
23,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,No
24,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,No
25,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,No
26,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,No
27,2010,2013,6JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,Yes,Yes
28,2010,2013,1JD,Parole,Black - Non-Hispanic,Under 25,Female,Aggravated Misdemeanor,Property,Forgery/Fraud,No,Yes
29,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Theft,No,Yes
30,2010,2013,1JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,Yes
31,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,Yes
32,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Theft,Yes,Yes
33,2010,2013,5JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Theft,Yes,Yes
34,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,No
35,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,No
36,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,No
37,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,No
38,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,No
39,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,No
40,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,No
41,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,No
42,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,No
43,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,Yes
44,2010,2013,6JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,Yes
45,2010,2013,1JD,Parole,White - Non-Hispanic,55 and Older,Male,C Felony,Property,Theft,No,Yes
46,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,Yes
47,2010,2013,1JD,Parole,Black - Non-Hispanic,55 and Older,Male,Felony - Enhanced,Drug,Trafficking,No,Yes
48,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,Yes
49,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Alcohol,No,Yes
50,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Alcohol,No,Yes
51,2010,2013,,Discharged – End of Sentence,White - Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,No
52,2010,2013,7JD,Parole,White - Non-Hispanic,45-54,Female,Felony - Enhanced,Drug,Trafficking,Yes,Yes
53,2010,2013,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,No
54,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,No
55,2010,2013,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,45-54,Female,D Felony,Drug,Other Drug,No,No
56,2010,2013,6JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,Yes,Yes
57,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,Yes,Yes
58,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,Yes
59,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,Yes
60,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,No
61,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,No
62,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,No
63,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Theft,Yes,No
64,2010,2013,,Discharged – End of Sentence,American Indian or Alaska Native - Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Theft,No,No
65,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,Yes
66,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,Yes
67,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,Yes
68,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Female,B Felony,Other,Other Criminal,Yes,Yes
69,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,Yes,Yes
70,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,No
71,2010,2013,,Discharged – End of Sentence,Asian or Pacific Islander - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Vandalism,No,No
72,2010,2013,2JD,Parole,Black - Non-Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,Yes,Yes
73,2010,2013,8JD,Parole,White - Hispanic,35-44,Male,C Felony,Violent,Robbery,No,Yes
74,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,Yes
75,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,Yes
76,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,Yes
77,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,Yes
78,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,Yes
79,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Female,B Felony,Violent,Sex,No,No
80,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Forgery/Fraud,No,Yes
81,2010,2013,1JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Drug,Other Drug,No,Yes
82,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Violent,Other Violent,No,No
83,2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Weapons,No,Yes
84,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,Yes
85,2010,2013,3JD,Parole,White - Hispanic,Under 25,Male,C Felony,Drug,Trafficking,Yes,Yes
86,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
87,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
88,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
89,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
90,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
91,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
92,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
93,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
94,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
95,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
96,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,No
97,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Drug,Drug Possession,No,Yes
98,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,Yes
99,2010,2013,1JD,Parole,White - Non-Hispanic,55 and Older,Female,D Felony,Property,Theft,Yes,Yes
100,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Other Violent,Yes,Yes
101,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,B Felony,Violent,Other Violent,Yes,Yes
102,2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Property,Theft,No,Yes
103,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,Yes
104,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,Yes
105,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,Yes,No
106,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,No,Yes
107,2010,2013,7JD,Parole,Black - Non-Hispanic,35-44,Female,D Felony,Property,Theft,No,Yes
108,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Female,D Felony,Property,Burglary,No,No
109,2010,2013,,Discharged – End of Sentence,Asian or Pacific Islander - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,No
110,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,Yes
111,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,Yes
112,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,Yes
113,2010,2013,2JD,Parole,White - Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Yes
114,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,No
115,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Property,Theft,Yes,Yes
116,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Yes
117,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Yes
118,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,No
119,2010,2013,,Discharged – End of Sentence,White - Hispanic,35-44,Female,D Felony,Property,Theft,No,No
120,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,55 and Older,Male,D Felony,Drug,Trafficking,No,No
121,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,No,No
122,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,No,No
123,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,No,No
124,2010,2013,6JD,Parole,Black - Non-Hispanic,45-54,Male,Felony - Enhanced,Property,Theft,Yes,Yes
125,2010,2013,8JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,Yes
126,2010,2013,8JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,Yes
127,2010,2013,8JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,Yes
128,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,C Felony,Violent,Sex,No,No
129,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,Yes
130,2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,Yes
131,2010,2013,7JD,Parole,White - Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,No,Yes
132,2010,2013,1JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Other Drug,Yes,Yes
133,2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Violent,Assault,No,Yes
134,2010,2013,7JD,Parole,White - Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,Yes
135,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Violent,Robbery,Yes,Yes
136,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Yes
137,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,No
138,2010,2013,4JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Property,Theft,Yes,Yes
139,2010,2013,2JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Vandalism,Yes,Yes
140,2010,2013,2JD,Parole,White - Hispanic,25-34,Male,D Felony,Public Order,OWI,No,Yes
141,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,D Felony,Drug,Drug Possession,No,No
142,2010,2013,4JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,Yes,Yes
143,2010,2013,5JD,Parole,White - Non-Hispanic,Under 25,Female,C Felony,Drug,Trafficking,Yes,Yes
144,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Flight/Escape,No,No
145,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,No
146,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,Yes,No
147,2010,2013,7JD,Parole,Black - Non-Hispanic,Under 25,Male,D Felony,Public Order,Weapons,No,Yes
148,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Property,Vandalism,Yes,No
149,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,Yes,Yes
150,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,Yes
151,2010,2013,5JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,Yes,Yes
152,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,Yes
153,2010,2013,3JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Other Drug,Yes,Yes
154,2010,2013,1JD,Special Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,Yes
155,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,Yes
156,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Arson,No,Yes
157,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Female,C Felony,Property,Theft,Yes,Yes
158,2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Drug,Trafficking,Yes,Yes
159,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Drug,Other Drug,No,No
160,2010,2013,5JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,Yes,Yes
161,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,Yes
162,2010,2013,7JD,Parole,Black - Non-Hispanic,45-54,Male,Felony - Enhanced,Property,Forgery/Fraud,Yes,Yes
163,2010,2013,5JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,No,Yes
164,2010,2013,4JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Public Order,OWI,Yes,Yes
165,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,No,Yes
166,2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,No,Yes
167,2010,2013,2JD,Parole,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Theft,No,Yes
168,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,No
169,2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Yes
170,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,C Felony,Violent,Assault,Yes,No
171,2010,2013,1JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Public Order,Sex Offender Registry/Residency,Yes,Yes
172,2010,2013,8JD,Parole,Black - Non-Hispanic,45-54,Female,C Felony,Property,Theft,No,Yes
173,2010,2013,3JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Weapons,No,Yes
174,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Property,Burglary,No,No
175,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,No
176,2010,2013,5JD,Special Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Sex,No,Yes
177,2010,2013,7JD,Parole,Black - Non-Hispanic,55 and Older,Male,D Felony,Drug,Drug Possession,No,Yes
178,2010,2013,,Discharged – End of Sentence,White - Hispanic,Under 25,Male,C Felony,Property,Burglary,No,No
179,2010,2013,,Discharged – End of Sentence,White - Hispanic,Under 25,Male,C Felony,Property,Burglary,No,No
180,2010,2013,3JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,Yes
181,2010,2013,8JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Property,Forgery/Fraud,Yes,Yes
182,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,No
183,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Other Drug,No,Yes
184,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,No,No
185,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,No,No
186,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,Other Felony (Old Code),Violent,Murder/Manslaughter,No,No
187,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,Other Felony (Old Code),Violent,Murder/Manslaughter,No,No
188,2010,2013,6JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,Yes
189,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,Yes,Yes
190,2010,2013,7JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Traffic,No,Yes
191,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,Yes
192,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,No
193,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,No
194,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,No
195,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,No
196,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,No
197,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,No
198,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,No
199,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,No
200,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Other Drug,No,Yes
201,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,No
202,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,No
203,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Weapons,Yes,No
204,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,D Felony,Property,Theft,No,No
205,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,D Felony,Property,Theft,No,No
206,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,D Felony,Property,Theft,No,No
207,2010,2013,1JD,Parole,American Indian or Alaska Native - Non-Hispanic,35-44,Female,D Felony,Property,Burglary,No,Yes
208,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Traffic,No,Yes
209,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,D Felony,Property,Theft,Yes,No
210,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,No
211,2011,2014,8JD,Parole,White - Hispanic,35-44,Male,D Felony,Public Order,OWI,No,Yes
212,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,No
213,2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,No
214,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,Yes,No
215,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,Yes,Yes
216,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Theft,Yes,Yes
217,2010,2013,4JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Property,Arson,No,Yes
218,2010,2013,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,No
219,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,Yes
220,2010,2013,,Discharged – End of Sentence,White - Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Burglary,No,No
221,2010,2013,3JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,Yes,Yes
222,2010,2013,5JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,Yes
223,2010,2013,5JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,Yes
224,2010,2013,3JD,Parole,White - Hispanic,55 and Older,Female,D Felony,Public Order,OWI,Yes,Yes
225,2010,2013,5JD,Parole,White - Hispanic,Under 25,Male,C Felony,Property,Burglary,No,Yes
226,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,D Felony,Property,Burglary,No,No
227,2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,D Felony,Property,Burglary,No,No
228,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Violent,Assault,No,No
229,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Violent,Assault,No,No
230,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Violent,Assault,No,No
231,2010,2013,6JD,Parole,White - Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,Yes
232,2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Theft,No,Yes
233,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Burglary,No,No
234,2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Burglary,No,No
235,2010,2013,7JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Violent,Sex,No,Yes
