Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Recidivism Type,Sex
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,8JD,No,,,,,Yes,No Recidivism,Female
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Drug,Drug Possession,Parole,8JD,Yes,323,D Felony,Violent,Assault,Yes,New,Male
2010,2013,White - Non-Hispanic,55 and Older,D Felony,Property,Theft,Parole,1JD,Yes,593,Aggravated Misdemeanor,Property,Theft,Yes,New,Female
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,Other Violent,Parole,1JD,Yes,737,Aggravated Misdemeanor,Property,Theft,Yes,New,Male
2010,2013,Black - Non-Hispanic,25-34,B Felony,Violent,Other Violent,Discharged – End of Sentence,,Yes,846,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Theft,Parole,1JD,No,,,,,Yes,No Recidivism,Female
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Theft,Parole,5JD,Yes,216,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,874,D Felony,Public Order,Weapons,No,New,Male
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,8JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,7JD,No,,,,,Yes,No Recidivism,Female
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2010,2013,Asian or Pacific Islander - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,146,,,,No,Tech,Male
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,,,,,Yes,No Recidivism,Female
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,,,,,Yes,No Recidivism,Female
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,,,,,Yes,No Recidivism,Female
2010,2013,White - Hispanic,25-34,C Felony,Drug,Trafficking,Parole,2JD,Yes,449,,,,Yes,Tech,Male
2010,2013,White - Hispanic,25-34,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Theft,Parole,5JD,Yes,127,,,,Yes,Tech,Male
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,403,D Felony,Drug,Drug Possession,Yes,New,Male
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,1085,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,949,D Felony,Property,Theft,No,New,Male
2010,2013,White - Hispanic,35-44,D Felony,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
2010,2013,Black - Non-Hispanic,55 and Older,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,Black - Non-Hispanic,45-54,Felony - Enhanced,Property,Theft,Parole,6JD,Yes,734,,,,Yes,Tech,Male
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,6JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Hispanic,55 and Older,C Felony,Drug,Trafficking,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,Parole,1JD,Yes,494,Serious Misdemeanor,Public Order,OWI,Yes,New,Male
2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Violent,Assault,Parole,8JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Hispanic,25-34,D Felony,Drug,Trafficking,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,45-54,C Felony,Violent,Robbery,Parole,8JD,Yes,46,,,,Yes,Tech,Male
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,7JD,Yes,541,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Male
2010,2013,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,324,D Felony,Public Order,OWI,No,New,Male
2010,2013,Black - Non-Hispanic,Under 25,C Felony,Property,Theft,Parole,4JD,Yes,343,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Vandalism,Parole,2JD,Yes,58,Aggravated Misdemeanor,Public Order,Alcohol,Yes,New,Male
2010,2013,White - Hispanic,25-34,D Felony,Public Order,OWI,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Hispanic,25-34,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Parole,4JD,Yes,16,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,273,,,,Yes,Tech,Female
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Flight/Escape,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,353,Aggravated Misdemeanor,Public Order,OWI,No,New,Male
2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,Yes,555,D Felony,Drug,Trafficking,No,New,Male
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Public Order,Weapons,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,25-34,D Felony,Property,Vandalism,Discharged – End of Sentence,,Yes,921,Aggravated Misdemeanor,Violent,Assault,No,New,Male
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,3JD,Yes,516,,,,Yes,Tech,Male
2010,2013,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,235,B Felony,Drug,Trafficking,Yes,New,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,5JD,Yes,169,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,Parole,3JD,Yes,182,,,,Yes,Tech,Male
2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Special Sentence,1JD,Yes,90,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Arson,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,Theft,Parole,5JD,Yes,442,Aggravated Misdemeanor,Property,Theft,Yes,New,Female
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,1JD,Yes,194,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Male
2010,2013,Black - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,Black - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,5JD,Yes,174,,,,Yes,Tech,Male
2010,2013,Black - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,45-54,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,Yes,880,,,,Yes,Tech,Male
2010,2013,Black - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,55 and Older,D Felony,Public Order,OWI,Parole,4JD,Yes,134,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Parole,2JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,283,D Felony,Property,Theft,No,New,Female
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,Yes,95,Serious Misdemeanor,Public Order,Flight/Escape,Yes,New,Male
2010,2013,White - Non-Hispanic,Under 25,C Felony,Violent,Assault,Discharged – End of Sentence,,Yes,547,,,,No,Tech,Male
2010,2013,Black - Non-Hispanic,45-54,D Felony,Public Order,Sex Offender Registry/Residency,Parole,1JD,Yes,1037,Aggravated Misdemeanor,Public Order,Traffic,Yes,New,Male
2010,2013,Black - Non-Hispanic,45-54,C Felony,Property,Theft,Parole,8JD,No,,,,,Yes,No Recidivism,Female
2010,2013,White - Non-Hispanic,45-54,D Felony,Public Order,Weapons,Parole,3JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,500,C Felony,Violent,Robbery,No,New,Male
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Sex,Special Sentence,5JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,55 and Older,D Felony,Drug,Drug Possession,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Hispanic,Under 25,C Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Hispanic,Under 25,C Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,341,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Property,Forgery/Fraud,Parole,8JD,Yes,511,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,1035,Aggravated Misdemeanor,Property,Theft,No,New,Male
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Other Drug,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,55 and Older,Other Felony (Old Code),Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,55 and Older,Other Felony (Old Code),Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,6JD,Yes,293,,,,Yes,Tech,Male
2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,2JD,Yes,305,D Felony,Public Order,OWI,Yes,New,Male
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Traffic,Parole,7JD,No,,,,,Yes,No Recidivism,Male
2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,5JD,No,,,,,Yes,No Recidivism,Male
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
