,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,crime_class_map,race_ethnicity_map,release_type_map,recidivist_map,target_pop_map,sex_map,age_released_map
14,2010,2013,White - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,No,No,Male,D Felony,White,Discharged - End of Sentence,0,0,0,3
15,2010,2013,Black - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,1JD,No,Yes,Male,C Felony,Black,Paroled,0,1,0,0
16,2010,2013,White - Non-Hispanic,Under 25,D Felony,Public Order,OWI,Discharged – End of Sentence,unknown,Yes,No,Male,D Felony,White,Discharged - End of Sentence,1,0,0,0
17,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,7JD,Yes,Yes,Female,D Felony,White,Paroled,1,1,1,2
18,2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,No,No,Female,C Felony,Black,Discharged - End of Sentence,0,0,1,1
19,2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,Black,Discharged - End of Sentence,0,0,0,1
20,2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,Black,Discharged - End of Sentence,0,0,0,1
21,2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,6JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,2
22,2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,6JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,2
23,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,D Felony,Black,Discharged - End of Sentence,0,0,0,0
24,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,D Felony,Black,Discharged - End of Sentence,0,0,0,0
25,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,D Felony,Black,Discharged - End of Sentence,0,0,0,0
26,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,D Felony,Black,Discharged - End of Sentence,0,0,0,0
27,2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,6JD,Yes,Yes,Male,D Felony,White,Paroled,1,1,0,0
28,2010,2013,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,1JD,No,Yes,Female,Aggravated Misdemeanor,Black,Paroled,0,1,1,0
29,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Theft,Parole,2JD,No,Yes,Male,Aggravated Misdemeanor,White,Paroled,0,1,0,3
30,2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male,Felony - Enhanced,American Native,Paroled,0,1,0,1
31,2010,2013,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,B Felony,White,Paroled,1,1,0,1
32,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Theft,Parole,8JD,Yes,Yes,Male,Felony - Enhanced,White,Paroled,1,1,0,1
33,2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,5JD,Yes,Yes,Male,D Felony,White,Paroled,1,1,0,0
34,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,B Felony,Hispanic,Discharged - End of Sentence,0,0,0,1
35,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,B Felony,Hispanic,Discharged - End of Sentence,0,0,0,1
36,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,B Felony,Hispanic,Discharged - End of Sentence,0,0,0,1
37,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,B Felony,Hispanic,Discharged - End of Sentence,0,0,0,1
38,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,B Felony,Hispanic,Discharged - End of Sentence,0,0,0,1
39,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,B Felony,Hispanic,Discharged - End of Sentence,0,0,0,1
40,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,B Felony,Hispanic,Discharged - End of Sentence,0,0,0,1
41,2010,2013,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,B Felony,Hispanic,Discharged - End of Sentence,0,0,0,1
42,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,Yes,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,1,0,0,1
43,2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,7JD,Yes,Yes,Male,C Felony,Black,Paroled,1,1,0,1
44,2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,6JD,No,Yes,Male,D Felony,Black,Paroled,0,1,0,2
45,2010,2013,White - Non-Hispanic,55 and Older,C Felony,Property,Theft,Parole,1JD,No,Yes,Male,C Felony,White,Paroled,0,1,0,4
46,2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Parole,8JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,1
47,2010,2013,Black - Non-Hispanic,55 and Older,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male,Felony - Enhanced,Black,Paroled,0,1,0,4
48,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,4JD,Yes,Yes,Male,D Felony,White,Paroled,1,1,0,1
49,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,Yes,Male,Aggravated Misdemeanor,White,Paroled,0,1,0,2
50,2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,Yes,Male,Aggravated Misdemeanor,White,Paroled,0,1,0,2
51,2010,2013,White - Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,D Felony,Hispanic,Discharged - End of Sentence,0,0,0,0
52,2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,7JD,Yes,Yes,Female,Felony - Enhanced,White,Paroled,1,1,1,3
53,2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,No,No,Male,C Felony,American Native,Discharged - End of Sentence,0,0,0,1
54,2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Theft,Discharged – End of Sentence,unknown,Yes,No,Male,C Felony,White,Discharged - End of Sentence,1,0,0,1
55,2010,2013,American Indian or Alaska Native - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,No,No,Female,D Felony,American Native,Discharged - End of Sentence,0,0,1,3
56,2010,2013,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,6JD,Yes,Yes,Male,C Felony,White,Paroled,1,1,0,0
57,2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,4JD,Yes,Yes,Male,C Felony,White,Paroled,1,1,0,1
58,2010,2013,Black - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male,Felony - Enhanced,Black,Paroled,0,1,0,1
59,2010,2013,Black - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male,Felony - Enhanced,Black,Paroled,0,1,0,1
60,2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,unknown,No,No,Male,D Felony,White,Discharged - End of Sentence,0,0,0,1
61,2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,unknown,No,No,Male,D Felony,White,Discharged - End of Sentence,0,0,0,1
62,2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,unknown,No,No,Male,D Felony,White,Discharged - End of Sentence,0,0,0,1
63,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Theft,Parole,2JD,Yes,No,Male,Felony - Enhanced,White,Paroled,1,0,0,1
64,2010,2013,American Indian or Alaska Native - Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,American Native,Discharged - End of Sentence,0,0,0,2
65,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Female,D Felony,White,Paroled,0,1,1,2
66,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Female,D Felony,White,Paroled,0,1,1,2
67,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Female,D Felony,White,Paroled,0,1,1,2
68,2010,2013,White - Non-Hispanic,25-34,B Felony,Other,Other Criminal,Parole,4JD,Yes,Yes,Female,B Felony,White,Paroled,1,1,1,1
69,2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,1JD,Yes,Yes,Male,D Felony,Black,Paroled,1,1,0,2
70,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,Yes,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,1,0,0,3
71,2010,2013,Asian or Pacific Islander - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,Asian or Pacific Islander,Discharged - End of Sentence,0,0,0,1
72,2010,2013,Black - Non-Hispanic,55 and Older,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male,C Felony,Black,Paroled,1,1,0,4
73,2010,2013,White - Hispanic,35-44,C Felony,Violent,Robbery,Parole,8JD,No,Yes,Male,C Felony,Hispanic,Paroled,0,1,0,2
74,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,1
75,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,1
76,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,1
77,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,1
78,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,1
79,2010,2013,White - Non-Hispanic,55 and Older,B Felony,Violent,Sex,Discharged – End of Sentence,unknown,No,No,Female,B Felony,White,Discharged - End of Sentence,0,0,1,4
80,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,4JD,No,Yes,Female,D Felony,White,Paroled,0,1,1,1
81,2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,Other Drug,Parole,1JD,No,Yes,Male,C Felony,White,Paroled,0,1,0,0
82,2010,2013,Black - Non-Hispanic,35-44,D Felony,Violent,Other Violent,Discharged – End of Sentence,unknown,No,No,Male,D Felony,Black,Discharged - End of Sentence,0,0,0,2
83,2010,2013,White - Non-Hispanic,45-54,D Felony,Public Order,Weapons,Parole,1JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,3
84,2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,1JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,2
85,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,0,0,0,1
86,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,0,0,0,1
87,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,0,0,0,1
88,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,0,0,0,1
89,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,0,0,0,1
90,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,0,0,0,1
91,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,0,0,0,1
92,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,0,0,0,1
93,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,0,0,0,1
94,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,0,0,0,1
95,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,0,0,0,1
96,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,8JD,No,Yes,Female,D Felony,White,Paroled,0,1,1,1
97,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Drug,Drug Possession,Parole,8JD,Yes,Yes,Male,Aggravated Misdemeanor,White,Paroled,1,1,0,1
98,2010,2013,White - Non-Hispanic,55 and Older,D Felony,Property,Theft,Parole,1JD,Yes,Yes,Female,D Felony,White,Paroled,1,1,1,4
99,2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,Other Violent,Parole,1JD,Yes,Yes,Male,D Felony,White,Paroled,1,1,0,1
100,2010,2013,Black - Non-Hispanic,25-34,B Felony,Violent,Other Violent,Discharged – End of Sentence,unknown,Yes,Yes,Male,B Felony,Black,Discharged - End of Sentence,1,1,0,1
101,2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Theft,Parole,1JD,No,Yes,Female,D Felony,White,Paroled,0,1,1,3
102,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Yes,Male,D Felony,White,Paroled,1,1,0,1
103,2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male,C Felony,White,Paroled,0,1,0,2
104,2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Discharged – End of Sentence,unknown,Yes,No,Male,D Felony,White,Discharged - End of Sentence,1,0,0,3
105,2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,8JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,3
106,2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,7JD,No,Yes,Female,D Felony,Black,Paroled,0,1,1,2
107,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,unknown,No,No,Female,D Felony,White,Discharged - End of Sentence,0,0,1,1
108,2010,2013,Asian or Pacific Islander - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,Yes,No,Male,D Felony,Asian or Pacific Islander,Discharged - End of Sentence,1,0,0,1
109,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Female,D Felony,White,Paroled,0,1,1,2
110,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Female,D Felony,White,Paroled,0,1,1,2
111,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Female,D Felony,White,Paroled,0,1,1,2
112,2010,2013,White - Hispanic,25-34,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male,C Felony,Hispanic,Paroled,1,1,0,1
113,2010,2013,White - Hispanic,25-34,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,unknown,No,No,Male,D Felony,Hispanic,Discharged - End of Sentence,0,0,0,1
114,2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Theft,Parole,5JD,Yes,Yes,Male,C Felony,White,Paroled,1,1,0,2
115,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male,C Felony,Black,Paroled,1,1,0,1
116,2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,C Felony,White,Paroled,1,1,0,2
117,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,unknown,Yes,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,1,0,0,1
118,2010,2013,White - Hispanic,35-44,D Felony,Property,Theft,Discharged – End of Sentence,unknown,No,No,Female,D Felony,Hispanic,Discharged - End of Sentence,0,0,1,2
119,2010,2013,Black - Non-Hispanic,55 and Older,D Felony,Drug,Trafficking,Discharged – End of Sentence,unknown,No,No,Male,D Felony,Black,Discharged - End of Sentence,0,0,0,4
120,2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,unknown,No,No,Male,C Felony,White,Discharged - End of Sentence,0,0,0,2
121,2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,unknown,No,No,Male,C Felony,White,Discharged - End of Sentence,0,0,0,2
122,2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,unknown,No,No,Male,C Felony,White,Discharged - End of Sentence,0,0,0,2
123,2010,2013,Black - Non-Hispanic,45-54,Felony - Enhanced,Property,Theft,Parole,6JD,Yes,Yes,Male,Felony - Enhanced,Black,Paroled,1,1,0,3
124,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male,C Felony,Black,Paroled,0,1,0,1
125,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male,C Felony,Black,Paroled,0,1,0,1
126,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male,C Felony,Black,Paroled,0,1,0,1
127,2010,2013,White - Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,No,No,Male,C Felony,Hispanic,Discharged - End of Sentence,0,0,0,1
128,2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,6JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,2
129,2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,6JD,No,Yes,Male,D Felony,White,Paroled,0,1,0,2
130,2010,2013,White - Hispanic,55 and Older,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male,C Felony,Hispanic,Paroled,0,1,0,4
131,2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,Parole,1JD,Yes,Yes,Male,D Felony,White,Paroled,1,1,0,0
132,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Violent,Assault,Parole,8JD,No,Yes,Male,Felony - Enhanced,White,Paroled,0,1,0,1
133,2010,2013,White - Hispanic,25-34,D Felony,Drug,Trafficking,Parole,7JD,No,Yes,Male,D Felony,Hispanic,Paroled,0,1,0,1
134,2010,2013,White - Non-Hispanic,45-54,C Felony,Violent,Robbery,Parole,8JD,Yes,Yes,Male,C Felony,White,Paroled,1,1,0,3
135,2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,7JD,Yes,Yes,Male,C Felony,Black,Paroled,1,1,0,1
136,2010,2013,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,Yes,No,Male,Aggravated Misdemeanor,Black,Discharged - End of Sentence,1,0,0,2
137,2010,2013,Black - Non-Hispanic,Under 25,C Felony,Property,Theft,Parole,4JD,Yes,Yes,Male,C Felony,Black,Paroled,1,1,0,0
138,2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Vandalism,Parole,2JD,Yes,Yes,Male,D Felony,White,Paroled,1,1,0,0
139,2010,2013,White - Hispanic,25-34,D Felony,Public Order,OWI,Parole,2JD,No,Yes,Male,D Felony,Hispanic,Paroled,0,1,0,1
140,2010,2013,White - Hispanic,25-34,D Felony,Drug,Drug Possession,Discharged – End of Sentence,unknown,No,No,Male,D Felony,Hispanic,Discharged - End of Sentence,0,0,0,1
141,2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Parole,4JD,Yes,Yes,Male,D Felony,White,Paroled,1,1,0,0
142,2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Female,C Felony,White,Paroled,1,1,1,0
143,2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Flight/Escape,Discharged – End of Sentence,unknown,No,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,0,0,0,1
144,2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,unknown,Yes,No,Male,Aggravated Misdemeanor,White,Discharged - End of Sentence,1,0,0,3
145,2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,unknown,Yes,No,Male,C Felony,Black,Discharged - End of Sentence,1,0,0,1
146,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Public Order,Weapons,Parole,7JD,No,Yes,Male,D Felony,Black,Paroled,0,1,0,0
147,2010,2013,Black - Non-Hispanic,25-34,D Felony,Property,Vandalism,Discharged – End of Sentence,unknown,Yes,No,Male,D Felony,Black,Discharged - End of Sentence,1,0,0,1
148,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,3JD,Yes,Yes,Male,D Felony,White,Paroled,1,1,0,2
149,2010,2013,Black - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole,5JD,No,Yes,Male,D Felony,Black,Paroled,0,1,0,1
150,2010,2013,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,C Felony,Black,Paroled,1,1,0,0
151,2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,5JD,Yes,Yes,Male,D Felony,White,Paroled,1,1,0,1
152,2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,Parole,3JD,Yes,Yes,Male,D Felony,White,Paroled,1,1,0,0
153,2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Special Sentence,1JD,Yes,Yes,Male,Aggravated Misdemeanor,Black,Special Sentence,1,1,0,1
154,2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Parole,2JD,No,Yes,Male,C Felony,White,Paroled,0,1,0,1
155,2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Arson,Parole,5JD,No,Yes,Male,C Felony,White,Paroled,0,1,0,1
156,2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,Theft,Parole,5JD,Yes,Yes,Female,C Felony,Black,Paroled,1,1,1,1
157,2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,1JD,Yes,Yes,Male,Felony - Enhanced,White,Paroled,1,1,0,3
158,2010,2013,Black - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,unknown,No,No,Male,D Felony,Black,Discharged - End of Sentence,0,0,0,3
159,2010,2013,Black - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,5JD,Yes,Yes,Male,C Felony,Black,Paroled,1,1,0,2
160,2010,2013,Black - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Yes,Male,D Felony,Black,Paroled,0,1,0,1
161,2010,2013,Black - Non-Hispanic,45-54,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,Yes,Yes,Male,Felony - Enhanced,Black,Paroled,1,1,0,3
